atom_id	gate	definition_source	definition_locator	definition_role	outcome_id	outcome_source	outcome_locator	outcome_role	definition_stage	outcome_stage	evaluation_stage
atom:NSW:CLA:s5B1a:risk-foreseeable	+1	source:NSW:Civil-Liability-Act-2002	s 5B(1)(a)	legislative	evidence:Cullen:joint:39:foreseeable	source:HCA:Cullen-v-NSW:2026:HCA19	joint reasons [39]	binding-ratio	repository-reconstruction	repository-reconstruction	cross-source-inference
atom:NSW:CLA:s5B1b:risk-not-insignificant	+1	source:NSW:Civil-Liability-Act-2002	s 5B(1)(b)	legislative	evidence:Cullen:joint:39:not-insignificant	source:HCA:Cullen-v-NSW:2026:HCA19	joint reasons [39]	binding-ratio	repository-reconstruction	repository-reconstruction	cross-source-inference
atom:NSW:CLA:s5B1c:reasonable-person-would-take-proposed-precautions	-1	source:NSW:Civil-Liability-Act-2002	s 5B(1)(c)	legislative	evidence:Cullen:joint:42-48:proposed-precautions-fail	source:HCA:Cullen-v-NSW:2026:HCA19	joint reasons [42]-[48]	binding-ratio	repository-reconstruction	repository-reconstruction	cross-source-inference
atom:NSW:CLA:s43A:liability-based-on-special-statutory-power	-1	source:NSW:Civil-Liability-Act-2002	s 43A	legislative	evidence:Cullen:Edelman:64:not-pursuant-to-statutory-power	source:HCA:Cullen-v-NSW:2026:HCA19	Edelman J [64]	concurrence	repository-reconstruction	repository-reconstruction	cross-source-inference
atom:NSW:vicarious-liability:family-recognised	+1	source:NSW:Law-Reform-Vicarious-Liability-Act-1983	s 8	legislative	evidence:Cullen:Edelman:100:vicarious-family	source:HCA:Cullen-v-NSW:2026:HCA19	Edelman J [100]	concurrence	repository-reconstruction	repository-reconstruction	cross-source-inference
